id	title	kampfhandlungen	militaerische-unterstuetzung	verhandlungen	humanitaer-klima	humanitaer-hunger	humanitaer-krankheiten	humanitaer-flucht	humanitaer_Hilfe	wirtschaft
1	20 Tote bei Angriff auf Hochzeit	1	1	0	0	0	0	0	0	0
3	Riad hat britische Streubomben im Jemen eingesetzt	1	0	1	0	0	0	0	0	0
8	Unicef: Millionen Kinder im Jemen vom Tod bedroht	0	0	0	0	1	1	0	0	0
22	Der Krieg im Jemen eskaliert	1	0	1	0	0	1	0	0	0
23	Eskalation in Zeiten von Flut und Seuchen	0	0	1	0	0	1	0	0	0
29	Regierung erlaubt deutlich mehr Waffenexporte	0	2	0	0	0	0	0	2	0
36	Vereinte Nationen verlangen Zugang zu Getreide-Silos	0	0	0	0	1	0	0	1	0
47	Gabriel warnt vor Katastrophe im Jemen	0	0	1	0	1	0	0	0	0
49	Gabriel warnt vor Hungertod im Jemen	0	0	2	0	2	0	0	0	0
53	UN sieht Chance auf Frieden	0	0	2	0	0	2	0	0	0
57	Rüstungsexporte für 1,2 Milliarden Euro	1	2	0	0	0	0	0	2	0
58	Waffenruhe wegen Corona-Krise im Jemen?	0	1	2	0	0	2	0	0	0
77	Hoffnung gibt es nur in Marib	1	0	0	0	0	0	0	1	0
82	1200 Häftlinge aus Gefängnis befreit	1	0	1	0	0	0	0	0	0
87	Luftschläge im Jemen	2	0	2	0	0	0	0	0	0
100	Russland fordert Feuerpause im Jemen	1	0	1	0	0	0	0	0	0
102	Huthi-Rebellen übergeben wichtigen Hafen	1	0	0	0	1	0	0	0	0
105	"""Der Jemen ist für Kinder die Hölle auf Erden"""	1	0	0	0	0	1	0	0	1
108	Rüstungsexporte steuern auf neuen Rekord zu	0	2	0	0	0	0	0	2	0
109	Verzögerte Siegesfeier	0	0	1	0	1	0	0	0	0
116	Saudi-Arabien fliegt Angriffe auf Huthi-Stellungen im Jemen	1	1	0	0	0	0	0	0	0
118	Mit dem Rücken zur Wand	1	0	1	0	0	0	0	0	0
120	Jemen, das Armenhaus am Golf	1	0	0	0	1	0	0	0	0
133	Rotes Kreuz warnt vor Fluchtwelle im Jemen	1	0	0	0	0	1	0	0	0
139	Flüchtlingslager im Jemen bei Luftangriff getroffen	1	1	0	0	0	0	1	0	0
142	Heftige Gefechte in Aden, Luftangriffe in Sanaa	1	0	0	1	0	0	0	0	0
144	Im Jemen droht eine Hungerkatastrophe	0	1	0	0	1	0	0	1	0
145	14 Millionen Menschen von Hungersnot bedroht	0	0	0	0	1	0	0	1	0
154	Mehr als 30 Tote bei Angriffen im Jemen	1	0	0	0	0	0	1	0	0
162	Saudi-Arabien zerstört Jemens Flottenstützpunkt	1	0	1	0	0	0	0	0	0
166	Luftangriffe im Jemen	1	0	1	0	1	0	0	0	0
171	Senegal beteiligt sich am Krieg im Jemen	0	1	1	0	0	0	0	0	0
180	Warum die Houthi-Rebellen es Biden im Jemen schwer machen	1	1	0	0	0	0	0	0	0
183	Raketen über Riad	1	0	0	0	1	0	0	0	0
206	Brüchige Waffenruhe im Jemen	0	1	1	0	1	0	0	1	0
207	UN: Jemen vor Zusammenbruch	0	0	1	0	1	0	0	0	0
208	UN: Jemen vor Zusammenbruch	0	0	1	0	1	0	0	0	0
209	Dutzende Tote im Jemen	1	0	1	0	0	0	0	0	0
212	Waffenruhe für den Jemen vereinbart	2	0	2	0	0	0	0	0	0
221	UN beklagt mangelnde Hilfsbereitschaft bei Hungerkrise in Jemen	0	0	1	0	0	0	0	1	0
223	Amerika schickt wieder Soldaten in den Jemen	2	2	1	0	0	0	0	0	0
231	Noch lange nicht vorbei	1	0	1	0	0	0	0	0	0
234	Der Kampf an der zweiten Front	1	0	0	0	0	0	0	1	0
260	Am Abgrund	1	1	0	0	1	0	0	0	0
263	Am Abgrund	0	1	0	0	1	0	0	0	0
268	Saudische Militärallianz weitet Operationen aus	1	0	0	0	0	0	0	1	0
284	Hafen von Aden zurückerobert	0	0	1	0	0	0	1	0	0
306	Der Krieg im Jemen ist auch unser Krieg	0	1	0	0	0	0	0	1	1
310	"""Viele unterschätzen, wie gefährlich Iran ist"""	1	0	1	0	1	0	0	0	0
311	Raketenangriff auf Riad	1	0	1	0	0	0	0	0	0
322	Früherer jemenitischer Präsident Salih getötet	1	1	0	0	0	0	0	0	0
336	Jetzt, auf einmal?	0	0	1	0	0	0	0	1	0
342	Arabische Ängste vor Iran	0	0	0	0	0	1	0	0	1
352	Amerikaner entsenden weitere Kriegsschiffe	0	1	0	0	1	0	0	0	0
353	Obama warnt Iran vor Waffenlieferungen an Houthis	1	0	0	0	1	0	0	0	0
362	Vorsichtige Hoffnung auf eine Waffenruhe im Jemen	1	0	1	0	0	1	0	0	0
370	UN: Gespräche über Jemen	1	0	1	0	0	0	0	0	0
375	Trump greift McCain an	1	1	0	0	1	0	0	0	0
377	Auch das noch	1	0	0	0	0	1	0	0	0
379	Eine Front  weniger in Jemen	1	1	1	0	0	0	0	0	0
385	Jemen	0	0	0	0	1	1	0	0	0
388	USA machen Druck  auf Saudi-Arabien	1	0	1	0	0	0	0	0	0
391	Hungersnot könnte bald 14 Millionen Menschen treffen	1	0	0	0	1	0	0	1	0
393	Schutz  der Lebensader	0	1	1	0	0	0	0	0	0
395	"""Jemen ist eine Hölle auf Erden für Kinder"""	1	0	1	0	0	0	0	0	0
396	Zehntausende Opfer in Jemen	2	0	2	0	0	1	0	0	0
401	Ein erster Schritt	1	0	1	0	0	0	0	0	0
405	Bidens erster Schritt	1	1	0	0	0	0	0	0	0
412	Eine Regierung, aber kein Frieden	1	0	1	0	0	0	0	0	0
418	Hunderte Millionen Euro  Nothilfe für Jemen	0	0	1	0	1	0	0	1	0
431	Jemen - der verarmte Hinterhof	1	0	0	0	0	0	0	1	0
438	Arabiens Ärmste	0	1	0	0	1	0	0	1	0
454	"Bröckelndes Bündnis der  arabischen ""Brüdernationen"""	1	0	1	0	0	0	0	0	0
464	Stellvertreterkrieg am Golf von Aden	2	2	0	0	0	0	0	0	0
466	Der Zerfall eines Landes, eine Frage der Zeit	0	1	1	0	0	0	0	0	0
467	UN-Sicherheitsrat vertagt Resolution zu Feuerpause	1	0	1	0	0	0	0	0	0
